Nose,Center of Chest,right shoulder,right elbow,right wrist,left shoulder,left elbow,left wrist,right hip,right knee,right ankle,left hip,left knee,right ankle,right eye,left eye,right ear,left ear,time
"-0.204,-0.176,0.459","-0.313,-0.014,0.417","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.249,-0.209,0.449","-0.213,-0.214,0.499","-0.34,-0.174,0.443","0,0,0",1627598304.574293
"-0.203,-0.175,0.457","-0.309,-0.014,0.417","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.599","-0.2,0.235,0.684","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.248,-0.208,0.448","-0.209,-0.215,0.501","-0.34,-0.174,0.443","0,0,0",1627598304.6646388
"-0.203,-0.175,0.456","-0.311,-0.014,0.414","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.247,-0.208,0.447","-0.209,-0.214,0.5","-0.339,-0.173,0.442","0,0,0",1627598304.7548368
"-0.2,-0.179,0.458","-0.309,-0.014,0.417","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.247,-0.207,0.446","-0.207,-0.217,0.496","-0.339,-0.173,0.441","0,0,0",1627598304.8461683
"-0.203,-0.179,0.456","-0.311,-0.014,0.414","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.204,0.227,0.68","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.247,-0.207,0.446","-0.208,-0.213,0.498","-0.339,-0.173,0.441","0,0,0",1627598304.9406717
"-0.2,-0.176,0.458","-0.309,-0.014,0.417","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.598","-0.199,0.234,0.682","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.243,-0.208,0.447","-0.208,-0.213,0.498","-0.339,-0.173,0.442","0,0,0",1627598305.0131989
"-0.2,-0.176,0.459","-0.312,-0.018,0.416","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.24,-0.205,0.449","-0.208,-0.214,0.499","-0.339,-0.173,0.442","0,0,0",1627598305.0846887
"-0.2,-0.175,0.469","-0.311,-0.014,0.419","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.199,0.234,0.681","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.236,-0.2,0.457","-0.206,-0.211,0.504","-0.333,-0.172,0.439","0,0,0",1627598305.184636
"-0.192,-0.172,0.482","-0.311,-0.014,0.419","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","-0.198,0.232,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.231,-0.194,0.463","-0.202,-0.212,0.518","-0.325,-0.172,0.439","0,0,0",1627598305.278626
"-0.192,-0.17,0.492","-0.309,-0.014,0.417","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.594","-0.198,0.233,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.226,-0.197,0.469","-0.202,-0.212,0.518","-0.321,-0.172,0.439","0,0,0",1627598305.372779
"-0.194,-0.167,0.497","-0.312,-0.01,0.416","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.594","-0.197,0.232,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.221,-0.196,0.479","-0.203,-0.209,0.521","-0.314,-0.176,0.439","0,0,0",1627598305.467349
"-0.191,-0.168,0.5","-0.309,-0.014,0.422","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","-0.193,0.227,0.662","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.221,-0.196,0.479","-0.201,-0.207,0.515","-0.31,-0.173,0.44","0,0,0",1627598305.5666742
"-0.192,-0.165,0.502","-0.309,-0.014,0.422","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.222,-0.193,0.481","-0.203,-0.2,0.521","-0.311,-0.173,0.441","0,0,0",1627598305.6586995
"-0.188,-0.161,0.506","-0.311,-0.014,0.419","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","-0.196,0.23,0.672","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.219,-0.194,0.483","-0.202,-0.203,0.529","-0.312,-0.173,0.442","0,0,0",1627598305.7216356
"-0.189,-0.162,0.508","-0.311,-0.014,0.42","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.601","-0.198,0.233,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.219,-0.193,0.482","-0.202,-0.203,0.53","-0.308,-0.173,0.442","0,0,0",1627598305.817101
"-0.186,-0.163,0.511","-0.311,-0.014,0.419","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.601","-0.198,0.233,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.203,-0.204,0.531","-0.308,-0.173,0.442","0,0,0",1627598305.9136286
"-0.187,-0.164,0.513","-0.309,-0.01,0.422","0,0,0","0,0,0","0,0,0","-0.264,0.034,0.596","-0.203,0.226,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.491","-0.202,-0.198,0.53","-0.303,-0.173,0.441","0,0,0",1627598306.015909
"-0.187,-0.16,0.515","-0.311,-0.014,0.419","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.491","-0.201,-0.202,0.54","-0.3,-0.173,0.442","0,0,0",1627598306.1066852
"-0.188,-0.16,0.516","-0.309,-0.014,0.422","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.601","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.215,-0.193,0.492","-0.201,-0.202,0.54","-0.3,-0.173,0.442","0,0,0",1627598306.1975513
"-0.188,-0.16,0.516","-0.308,-0.01,0.421","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.202,0.231,0.674","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.491","0,0,0","-0.3,-0.173,0.442","0,0,0",1627598306.301205
"-0.188,-0.16,0.516","-0.309,-0.01,0.422","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.491","-0.201,-0.202,0.54","-0.301,-0.174,0.443","0,0,0",1627598306.3947
"-0.187,-0.16,0.515","-0.309,-0.014,0.422","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","-0.203,0.226,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.49","-0.202,-0.197,0.542","-0.301,-0.174,0.443","0,0,0",1627598306.4925678
"-0.187,-0.16,0.515","-0.307,-0.01,0.424","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.6","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.49","-0.201,-0.202,0.541","-0.3,-0.173,0.442","0,0,0",1627598306.587568
"-0.187,-0.16,0.515","-0.31,-0.01,0.418","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.599","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.49","-0.201,-0.202,0.54","-0.3,-0.173,0.442","0,0,0",1627598306.6829774
"-0.187,-0.16,0.513","-0.309,-0.01,0.422","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.598","-0.198,0.233,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.49","-0.201,-0.201,0.539","-0.3,-0.173,0.442","0,0,0",1627598306.7819338
"-0.187,-0.16,0.514","-0.311,-0.01,0.42","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.601","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.49","-0.2,-0.201,0.538","-0.304,-0.173,0.442","0,0,0",1627598306.875225
"-0.187,-0.16,0.513","-0.308,-0.01,0.421","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.598","-0.203,0.226,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.19,0.486","-0.201,-0.201,0.539","-0.303,-0.173,0.441","0,0,0",1627598306.9644964
"-0.187,-0.164,0.513","-0.308,-0.014,0.421","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.6","-0.203,0.226,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.214,-0.192,0.49","-0.201,-0.201,0.539","-0.304,-0.173,0.442","0,0,0",1627598307.0566313
"-0.187,-0.16,0.513","-0.307,-0.01,0.42","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.599","-0.203,0.226,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.202,-0.197,0.528","-0.304,-0.173,0.442","0,0,0",1627598307.1166353
"-0.187,-0.164,0.513","-0.311,-0.01,0.419","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.598","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.202,-0.197,0.528","-0.304,-0.173,0.442","0,0,0",1627598307.2128494
"-0.186,-0.163,0.512","0,0,0","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.198,0.233,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.201,-0.197,0.526","-0.302,-0.173,0.44","0,0,0",1627598307.3159676
"-0.186,-0.163,0.511","-0.307,-0.014,0.419","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.597","-0.203,0.225,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.202,-0.197,0.528","-0.303,-0.173,0.441","0,0,0",1627598307.4073334
"-0.186,-0.163,0.511","-0.309,-0.014,0.422","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.598","-0.203,0.226,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.2,-0.196,0.524","-0.303,-0.173,0.441","0,0,0",1627598307.4972057
"-0.186,-0.163,0.511","-0.31,-0.01,0.418","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.598","-0.198,0.233,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.215,-0.194,0.484","-0.199,-0.205,0.535","-0.303,-0.173,0.441","0,0,0",1627598307.5859308
"-0.186,-0.163,0.511","-0.308,-0.01,0.421","0,0,0","0,0,0","0,0,0","-0.26,0.034,0.598","-0.203,0.232,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.215,-0.194,0.484","-0.2,-0.201,0.537","-0.303,-0.173,0.441","0,0,0",1627598307.6785228
"-0.186,-0.159,0.51","-0.307,-0.01,0.419","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","-0.203,0.226,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.199,-0.2,0.536","-0.302,-0.173,0.44","0,0,0",1627598307.7724214
"-0.186,-0.163,0.511","-0.311,-0.01,0.419","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","-0.198,0.233,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.199,-0.205,0.534","-0.302,-0.173,0.44","0,0,0",1627598307.867107
"-0.186,-0.163,0.512","-0.31,-0.014,0.423","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.594","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.199,-0.2,0.536","-0.303,-0.173,0.441","0,0,0",1627598307.9549313
"-0.186,-0.159,0.511","-0.311,-0.014,0.42","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.594","-0.203,0.226,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.199,-0.2,0.535","-0.303,-0.173,0.441","0,0,0",1627598308.0479412
"-0.186,-0.163,0.512","-0.309,-0.01,0.422","0,0,0","0,0,0","0,0,0","-0.262,0.034,0.602","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","0,0,0","-0.303,-0.173,0.441","0,0,0",1627598308.1311243
"-0.187,-0.164,0.513","-0.31,-0.014,0.423","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.601","-0.203,0.226,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.2,-0.196,0.524","-0.302,-0.173,0.44","0,0,0",1627598308.2655947
"-0.186,-0.163,0.512","-0.311,-0.014,0.42","0,0,0","0,0,0","0,0,0","-0.261,0.034,0.6","-0.203,0.226,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.201,-0.197,0.526","-0.302,-0.173,0.44","0,0,0",1627598308.3314602
"-0.186,-0.163,0.511","-0.31,-0.014,0.423","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.595","-0.203,0.226,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.2,-0.196,0.524","-0.302,-0.173,0.44","0,0,0",1627598308.4230928
"-0.186,-0.159,0.512","-0.309,-0.014,0.422","0,0,0","0,0,0","0,0,0","-0.264,0.034,0.597","-0.203,0.232,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.485","-0.201,-0.201,0.539","-0.302,-0.173,0.44","0,0,0",1627598308.5207157
"-0.186,-0.163,0.511","-0.31,-0.014,0.423","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.594","-0.202,0.232,0.675","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.202,-0.197,0.528","-0.303,-0.173,0.441","0,0,0",1627598308.6053948
"-0.186,-0.163,0.511","-0.31,-0.014,0.423","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.594","-0.199,0.234,0.681","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.202,-0.197,0.528","-0.303,-0.173,0.441","0,0,0",1627598308.699965
"-0.19,-0.163,0.511","-0.309,-0.014,0.422","0,0,0","0,0,0","0,0,0","-0.264,0.034,0.596","-0.198,0.233,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.202,-0.197,0.528","-0.303,-0.173,0.441","0,0,0",1627598308.7597616
"-0.186,-0.163,0.511","-0.309,-0.01,0.422","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.594","-0.203,0.232,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.202,-0.203,0.53","-0.303,-0.173,0.441","0,0,0",1627598308.835223
"-0.186,-0.163,0.512","-0.31,-0.014,0.424","0,0,0","0,0,0","0,0,0","-0.265,0.034,0.598","-0.203,0.232,0.676","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.202,-0.198,0.529","-0.307,-0.173,0.441","0,0,0",1627598308.912313
"-0.186,-0.163,0.512","-0.309,-0.014,0.422","0,0,0","0,0,0","0,0,0","-0.265,0.034,0.598","-0.203,0.232,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.202,-0.198,0.53","-0.303,-0.173,0.441","0,0,0",1627598309.012051
"-0.19,-0.163,0.511","-0.308,-0.01,0.421","0,0,0","0,0,0","0,0,0","-0.264,0.034,0.597","-0.203,0.232,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.203,-0.204,0.531","-0.307,-0.173,0.44","0,0,0",1627598309.1055868
"-0.186,-0.163,0.512","-0.31,-0.01,0.423","0,0,0","0,0,0","0,0,0","-0.263,0.034,0.595","-0.203,0.232,0.677","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.487","-0.202,-0.203,0.53","-0.307,-0.173,0.44","0,0,0",1627598309.2065053
"-0.186,-0.163,0.511","-0.311,-0.014,0.42","0,0,0","0,0,0","0,0,0","-0.264,0.034,0.597","-0.203,0.233,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.487","-0.202,-0.203,0.53","-0.307,-0.173,0.441","0,0,0",1627598309.3047593
"-0.186,-0.163,0.511","-0.31,-0.014,0.424","0,0,0","0,0,0","0,0,0","-0.264,0.034,0.597","-0.204,0.226,0.679","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.487","-0.202,-0.197,0.528","-0.303,-0.173,0.441","0,0,0",1627598309.4063883
"-0.186,-0.159,0.512","-0.31,-0.014,0.418","0,0,0","0,0,0","0,0,0","-0.265,0.034,0.598","-0.203,0.233,0.678","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","-0.216,-0.195,0.486","-0.202,-0.198,0.529","-0.303,-0.173,0.441","0,0,0",1627598309.4974077
